"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.364037489E-2,-7.072134241E-1,8.552731106E-1,-4.970314568E-1,1.216011180E0
3.363437485E-2,-5.609628662E-1,5.501624742E-1,-4.213544530E-1,8.915703339E-1
4.362937482E-2,-5.706250978E-1,3.738054800E-1,-3.730523586E-1,7.775034414E-1
5.362337502E-2,-6.976391932E-1,3.374971944E-1,-3.468895769E-1,8.490801957E-1
6.361737498E-2,-6.935955513E-1,4.154183596E-1,-2.301440692E-1,8.406030543E-1
7.361137494E-2,-6.893800011E-1,6.403358951E-1,-7.407252789E-3,9.409196097E-1
8.360637492E-2,-7.653707081E-1,8.121028250E-1,2.064037889E-1,1.134859394E0
9.360037488E-2,-6.103013796E-1,8.576114121E-1,2.630136073E-1,1.084961412E0
1.035943748E-1,-2.844211408E-1,6.235289508E-1,2.397539681E-1,7.260617764E-1
1.135893748E-1,-3.227411610E-1,2.659392616E-1,9.016067398E-1,9.938713503E-1
1.235833750E-1,-8.669716349E-1,2.715783164E-1,7.619863397E-1,1.185756206E0
1.335773750E-1,-2.335614744E-1,7.469338524E-1,1.916606194E-1,8.057263402E-1
1.435723749E-1,-1.935045388E-1,1.529312649E0,4.379839343E-1,1.602520238E0
1.535663749E-1,-3.171354353E-2,1.568335797E0,6.076555145E-1,1.682239027E0
1.635603749E-1,6.189716309E-1,1.146731083E0,1.226161122E-1,1.308874619E0
1.735553748E-1,1.028448781E0,8.210712844E-1,1.141287033E0,1.741953226E0
1.835493748E-1,1.169930934E0,2.646022958E-1,-1.622964871E0,2.018109942E0
1.935433750E-1,1.766569856E0,-5.776274309E-1,-3.521953989E0,3.982283566E0
2.035383750E-1,9.032166244E-1,-1.297489552E0,-1.405495226E0,2.115347782E0
2.135323749E-1,7.014105012E-1,-1.265156788E0,-8.772998643E-1,1.691819565E0
2.235263749E-1,1.971827298E-3,-1.312039179E0,-2.346321580E0,2.688247692E0
2.335213749E-1,-2.481976399E-1,-9.140931764E-1,-2.799833965E0,2.955712881E0
2.435153748E-1,2.310163276E-1,6.904509187E-2,-1.729289471E0,1.746017710E0
2.535093748E-1,9.100533351E-1,2.989859703E-1,-1.926038922E0,2.151096375E0
2.635043750E-1,8.224689151E-1,5.973632455E-2,-2.490839024E0,2.623795454E0
2.734983750E-1,7.872562516E-1,-2.764817914E-1,-2.537599207E0,2.671258940E0
2.834923749E-1,9.166430010E-1,-8.333738261E-1,-2.808050473E0,3.069184547E0
2.934873749E-1,1.029190793E0,-1.149709070E0,-2.824384085E0,3.218417327E0
3.034813749E-1,9.797012749E-1,-1.361188827E0,-1.994026837E0,2.605531162E0
3.134753748E-1,1.362212674E0,-2.115427606E0,-1.230524899E0,2.800865733E0
3.234703748E-1,2.092583411E0,-2.732411768E0,-1.479979983E0,3.746374268E0
3.334643750E-1,1.255713243E0,-1.478508239E0,-1.236665645E0,2.300466100E0
3.434583750E-1,1.148447387E0,-1.342465750E0,-6.033920757E0,6.287236705E0
3.534533749E-1,-1.954291791E0,-2.073995697E-1,-1.087177835E1,1.104797879E1
