"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.422828750E-1,-5.029819855E-1,1.236538176E0,-2.212574708E-1,1.353134290E0
6.522768750E-1,-6.848234122E-1,-8.117022908E-1,-1.707440180E0,2.010769923E0
6.622708749E-1,-9.575691251E-1,-2.634648369E0,-3.136923024E0,4.206970016E0
6.722648751E-1,-9.338855629E-1,-4.317727879E0,-4.538357944E0,6.333372649E0
6.822578751E-1,-5.556774584E-1,-5.576265619E0,-5.789432883E0,8.057359915E0
6.922518751E-1,-9.350533797E-2,-6.352964138E0,-6.980617130E0,9.439169037E0
7.022458750E-1,-1.347892843E-2,-6.833295363E0,-8.092440628E0,1.059158640E1
7.122398750E-1,-2.940601662E-1,-7.319517657E0,-9.042178724E0,1.163713050E1
7.222338750E-1,-6.996391603E-1,-7.820075569E0,-9.659953430E0,1.244820377E1
7.322278749E-1,-1.012612913E0,-8.029456176E0,-9.954577085E0,1.282930849E1
7.422218751E-1,-9.903454001E-1,-8.243065488E0,-1.028224452E1,1.321565228E1
7.522158751E-1,-6.192753938E-1,-8.182257954E0,-1.034083012E1,1.320097022E1
7.622098750E-1,-2.162840485E-1,-7.629747530E0,-1.036086151E1,1.286884911E1
7.722038750E-1,1.439347681E-1,-7.116222832E0,-1.011382951E1,1.236733164E1
7.821978750E-1,6.406668475E-1,-6.632101443E0,-9.811520276E0,1.186006550E1
7.921918749E-1,1.148270363E0,-6.237473443E0,-9.472269502E0,1.139949513E1
8.021858751E-1,1.411545487E0,-5.951180316E0,-8.915775955E0,1.081203351E1
8.121798751E-1,1.384815086E0,-5.726287047E0,-8.305850551E0,1.018308546E1
8.221738751E-1,1.391760555E0,-5.587634361E0,-7.847862123E0,9.733837634E0
8.321678750E-1,1.564503824E0,-5.497156300E0,-7.586955267E0,9.498857291E0
8.421618750E-1,1.761834635E0,-5.287845275E0,-7.352541561E0,9.226333852E0
8.521558749E-1,1.967574034E0,-5.046956363E0,-7.104472852E0,8.934016488E0
8.621498751E-1,2.097928059E0,-4.766736154E0,-6.767092018E0,8.539122325E0
8.721438751E-1,2.016398284E0,-4.474575346E0,-6.337145666E0,8.015428982E0
8.821378751E-1,1.789153849E0,-4.107676013E0,-5.834845283E0,7.356595218E0
