"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.668305000E-1,-1.778922976E0,-5.167412513E0,-8.869712175E0,1.041818185E1
6.768805000E-1,-2.490767980E0,-5.251701881E0,-8.273008495E0,1.011073525E1
6.869315000E-1,-3.629795941E0,-5.057802948E0,-8.141432109E0,1.024888804E1
6.969815000E-1,-4.964733986E0,-4.587730663E0,-8.242216473E0,1.065973680E1
7.070325000E-1,-5.701486666E0,-4.099967336E0,-8.196839156E0,1.079374145E1
7.170825000E-1,-5.621032487E0,-4.495736420E0,-8.058306338E0,1.080481158E1
7.271335000E-1,-5.612730610E0,-5.035798706E0,-7.546009555E0,1.066790859E1
7.371845000E-1,-5.792427242E0,-5.061575571E0,-7.186470112E0,1.052697076E1
7.472345000E-1,-5.333748842E0,-4.766531794E0,-7.134384869E0,1.010287828E1
7.572855000E-1,-3.598181216E0,-4.310953295E0,-6.651069810E0,8.704479077E0
7.673355000E-1,-1.942769560E0,-1.647334312E0,-3.077234062E0,3.994675628E0
7.773865000E-1,-4.005468437E-1,3.628706312E0,6.089320201E0,7.099842800E0
7.874375000E-1,4.500484943E-2,2.081779745E1,2.955355167E1,3.614962147E1
7.974875000E-1,3.659557392E0,3.642500537E1,3.362725770E1,4.970881046E1
8.075385000E-1,9.888301234E0,1.129667329E1,1.493022665E1,2.117321413E1
8.175885000E-1,1.093796064E1,-1.913182649E-1,1.974158583E0,1.111633428E1
8.276395000E-1,1.567872990E1,-1.126812104E0,1.561515780E1,2.215683709E1
8.376895000E-1,1.355232444E1,3.661306002E0,2.242011463E1,2.645245167E1
8.477405000E-1,9.467219262E0,5.733184422E0,2.599231667E1,2.825063132E1
8.577915000E-1,6.790107828E0,4.230824806E0,1.775184968E1,1.947135357E1
8.678415000E-1,5.646447995E0,1.562586230E0,5.778029058E0,8.228588608E0
8.778925000E-1,1.594913439E0,-1.196270156E0,6.015791464E0,6.337551428E0
8.879425000E-1,-1.321352039E0,1.625429180E0,6.837380812E0,7.151067585E0
8.979935000E-1,-2.867342701E0,3.352023377E0,4.880032389E0,6.578178396E0
9.080445000E-1,-2.962485671E0,3.844014534E0,2.131215380E0,5.300457347E0
9.180945000E-1,-2.129777550E0,4.411446467E0,-4.614944190E-1,4.920344444E0
9.281455000E-1,-1.155892208E0,4.756049490E0,-2.740166638E0,5.609332113E0
9.381955000E-1,-7.884502530E-2,4.594043317E0,-5.100825591E0,6.865119974E0
9.482465000E-1,2.527453119E-1,4.289772341E0,-7.283378356E0,8.456573018E0
9.582975000E-1,-2.200663930E-1,4.311712264E0,-8.954835355E0,9.941245802E0
9.683475000E-1,-2.114304648E0,4.642043403E0,-1.005229926E1,1.127242527E1
9.783985000E-1,-4.503656181E0,4.773843737E0,-1.112912250E1,1.292013431E1
9.884485000E-1,-6.010257075E0,4.484215651E0,-1.257868234E1,1.464426951E1
9.984995000E-1,-7.302349647E0,4.482801209E0,-1.378291173E1,1.622924745E1
1.008549500E0,-8.036181058E0,5.348915350E0,-1.506217726E1,1.789022876E1
1.018600500E0,-8.101363479E0,4.295824209E0,-1.376170153E1,1.653694727E1
