"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.339404167E-1,-1.434257680E-1,-4.901443139E-1,2.646958512E0,2.695774798E0
6.439574167E-1,1.294216865E-1,-5.005473876E-1,2.620019220E0,2.670542711E0
6.539754167E-1,-4.334643289E-1,-8.742502490E-1,2.063289446E0,2.282404031E0
6.639924167E-1,-1.187626509E0,-1.324859199E0,1.928240399E0,2.623703424E0
6.740094167E-1,-1.787097676E0,-1.773345610E0,1.805089851E0,3.097873807E0
6.840274167E-1,-1.889551712E0,-1.854181612E0,1.553922703E0,3.069702084E0
6.940444167E-1,-1.317871776E0,-1.392554461E0,1.703058861E0,2.564449928E0
7.040614167E-1,-6.379432145E-1,-1.042532823E0,1.925167102E0,2.280375979E0
7.140794167E-1,-2.086318704E-1,-8.221734846E-1,1.879309729E0,2.061868462E0
7.240964167E-1,3.508776703E-1,-3.714999229E-1,-2.411684096E-2,5.115749742E-1
7.341134167E-1,1.666397404E0,1.036839974E0,-6.783113973E0,7.061342125E0
7.441314167E-1,1.564804956E0,1.272434818E0,-7.593111216E0,7.856401393E0
7.541484167E-1,-4.154680610E-1,-1.840217876E0,-3.193465015E0,3.709074594E0
7.641654167E-1,-2.319841587E0,-3.579783829E0,-1.386105859E-1,4.267989005E0
7.741834167E-1,-2.058005609E0,-3.757597072E0,1.000014794E0,4.399426375E0
7.842001667E-1,-8.146086493E-1,-3.445436448E0,1.063616129E0,3.696741651E0
7.942171667E-1,5.442263809E-1,-2.761180654E0,-2.403012675E-1,2.824543442E0
8.042351667E-1,1.462919854E0,-2.457915399E0,-1.613025189E0,3.283798543E0
8.142521667E-1,1.153998587E0,-2.419638940E0,-2.014088634E0,3.353046133E0
8.242691667E-1,5.959783325E-1,-2.447547701E0,-1.718772669E0,3.049567085E0
8.342871667E-1,4.143079734E-1,-2.476548429E0,-1.015252054E0,2.708446039E0
8.443041667E-1,1.289556050E0,-2.034616162E0,-4.772210902E-1,2.455678664E0
8.543211667E-1,2.438839442E0,-2.125670758E0,-3.182288647E-1,3.250797380E0
8.643391667E-1,3.218044078E0,-2.252438101E0,-7.427969474E-1,3.997628346E0
8.743561667E-1,3.757637418E0,-2.090522706E0,-1.141065423E0,4.448837427E0
8.843731667E-1,3.932195224E0,-2.123545295E0,-1.924129221E0,4.865580865E0
8.943911667E-1,3.880005900E0,-2.074211314E0,-2.932666333E0,5.287469166E0
9.044081667E-1,3.229298506E0,-2.327673056E0,-3.002981440E0,4.986414366E0
9.144251667E-1,1.983945653E0,-3.361207598E0,-2.873881935E0,4.846953089E0
9.244431667E-1,1.351656988E0,-3.952642937E0,-3.177212679E0,5.248337185E0
9.344601667E-1,1.406002765E0,-3.818346719E0,-3.522194309E0,5.381678938E0
9.444771667E-1,5.106350040E-1,-3.510625593E0,-3.629712326E0,5.075436112E0
9.544951667E-1,-3.065548986E-1,-3.536400997E0,-3.315919744E0,4.857512909E0
9.645121667E-1,-1.201117498E-1,-3.473274457E0,-2.549384855E0,4.310153759E0
9.745291667E-1,7.577032542E-1,-3.220718887E0,-1.537916535E0,3.648606808E0
9.845471667E-1,1.338356912E0,-2.799040790E0,-3.425749165E-1,3.121407718E0
9.945641667E-1,1.318996196E0,-2.316613193E0,9.634433842E-1,2.834549489E0
1.004581167E0,1.605613258E0,-1.917432698E0,1.456613925E0,2.894177985E0
1.014599167E0,1.579319499E0,-2.136478898E0,2.049279517E0,3.355344796E0
1.024616167E0,1.003440093E0,-3.229406972E0,2.695428421E0,4.324499484E0
1.034633167E0,4.699173331E-1,-4.176459734E0,2.774756427E0,5.036160386E0
1.044651167E0,3.202373832E-1,-4.186558752E0,2.580385623E0,4.928307634E0
1.054668167E0,2.185040170E-1,-3.826731041E0,2.465567942E0,4.557481733E0
1.064685167E0,-6.430896413E-1,-3.664148918E0,2.699979894E0,4.596677388E0
1.074703167E0,-1.197589872E0,-3.514226601E0,3.283243164E0,4.956177537E0
1.084720167E0,-6.553652859E-1,-3.053159029E0,3.578984807E0,4.749780622E0
1.094737167E0,-2.198085308E-1,-2.689629153E0,3.795941650E0,4.657423513E0
1.104755167E0,-5.274147588E-1,-3.306363055E0,4.498923152E0,5.608075651E0
1.114772167E0,-1.173818602E0,-4.388606950E0,4.791358194E0,6.602638444E0
1.124789167E0,-1.906026827E0,-4.717939678E0,4.712148303E0,6.935144893E0
1.134807167E0,-2.502982521E0,-4.414812417E0,4.697944247E0,6.915646775E0
1.144824167E0,-3.139783482E0,-4.183854707E0,4.233312796E0,6.729325208E0
1.154841167E0,-3.592305349E0,-4.086479271E0,3.748671005E0,6.607306929E0
1.164859167E0,-3.652814675E0,-4.010091246E0,3.587305979E0,6.503280021E0
1.174876167E0,-3.621920911E0,-4.184813651E0,3.846642272E0,6.740002459E0
1.184893167E0,-3.713848497E0,-3.964901040E0,4.193203236E0,6.862657232E0
1.194911167E0,-4.032767333E0,-3.158334358E0,4.482124102E0,6.806447292E0
1.204928167E0,-4.564852263E0,-2.206067342E0,4.735031381E0,6.937227939E0
1.214945167E0,-5.249241958E0,-1.412150527E0,4.723847997E0,7.201628298E0
1.224963167E0,-5.926612070E0,-9.697285563E-1,4.302043308E0,7.387332450E0
1.234980167E0,-6.665982549E0,-6.127297282E-1,2.331205359E0,7.088390472E0
1.244998167E0,-6.319511633E0,-4.408210033E-1,1.745247400E0,6.570878094E0
1.255015167E0,-5.671159497E0,-2.114680624E-1,1.383918708E0,5.841403922E0
1.265032167E0,-5.732424284E0,4.444468617E-2,1.747353274E0,5.992988150E0
1.275050167E0,-5.697628673E0,3.310740280E-1,2.047699892E0,6.063469086E0
1.285067167E0,-5.201145101E0,5.353751582E-1,1.976759717E0,5.589822528E0
1.295084167E0,-4.630837507E0,7.418725026E-1,1.499237788E0,4.923692189E0
1.305102167E0,-4.216630105E0,6.141149336E-1,1.654592168E0,4.571081036E0
1.315119167E0,-3.379475177E0,3.890585268E-1,1.592094350E0,3.755926441E0
1.325136167E0,-2.669538997E0,2.630299795E-1,1.276603298E0,2.970747247E0
1.335154167E0,-2.771833988E0,2.120785117E-2,1.275507529E0,3.051300197E0
1.345171167E0,-3.138476045E0,-3.735815316E-1,1.142925934E0,3.360933611E0
1.355188167E0,-2.555026541E0,3.761507982E-1,3.219055208E-1,2.602551289E0
1.365206167E0,-1.805289826E0,2.054030964E0,-7.017378721E-1,2.823216357E0
1.375223167E0,-1.431164211E0,2.874561381E0,-6.800130540E-1,3.282339392E0
1.385240167E0,-9.509303427E-1,3.028726730E0,-3.870225263E-1,3.198005716E0
1.395258167E0,-3.137373260E-1,3.302305672E0,-3.055567789E-1,3.331218816E0
1.405275167E0,-2.000841182E-1,3.435319303E0,-9.611419201E-2,3.442483160E0
1.415292167E0,-3.728602776E-1,3.570122182E0,2.156289776E-1,3.596010711E0
1.425310167E0,-6.376982161E-1,4.034655399E0,1.122812682E0,4.236249700E0
1.435327167E0,-1.005627244E0,4.693031416E0,4.949316486E-1,4.825016825E0
1.445344167E0,-1.808853119E0,4.848677280E0,1.163725723E0,5.304326397E0
1.455362167E0,-2.713891297E0,4.557580665E0,2.799655041E0,5.997900953E0
1.465379167E0,-3.098130549E0,4.822709795E0,1.904423959E0,6.040179905E0
1.475396167E0,-3.477398498E0,5.332072445E0,1.832028558E0,6.624169798E0
1.485414167E0,-3.833658530E0,5.605533273E0,3.865739279E0,7.814274193E0
1.495431167E0,-4.068056449E0,6.084177575E0,5.082997431E0,8.910845241E0
1.505448167E0,-3.916624965E0,6.362648297E0,5.128307505E0,9.062162122E0
1.515466167E0,-3.654857400E0,6.010757596E0,4.715464844E0,8.468931349E0
1.525483167E0,-3.308748134E0,5.174163709E0,2.781262331E0,6.742047497E0
1.535500167E0,-2.209827102E0,4.130375488E0,1.436613962E0,4.899713989E0
1.545518167E0,-2.277912666E0,3.039102615E0,6.632694789E-1,3.855509981E0
1.555535167E0,-2.755941256E0,2.306327210E0,2.237656925E0,4.233375240E0
1.565552167E0,-2.999912821E0,2.077673596E0,3.547350200E0,5.089194234E0
1.575570167E0,-2.940223274E0,1.673125210E0,3.355945104E0,4.765147261E0
1.585587167E0,-1.389950988E0,9.189963591E-1,1.832779341E0,2.477013962E0
1.595605167E0,1.730787528E-1,1.571503526E-1,5.656842005E-1,6.120874960E-1
1.605622167E0,7.730720758E-2,-5.853296757E-1,-9.508274317E-1,1.119222962E0
1.615639167E0,1.326016363E0,-1.395704064E0,-1.240738231E0,2.290358179E0
1.625657167E0,3.198010640E0,-2.023658187E0,-4.641964173E-1,3.812865435E0
1.635674167E0,3.321827186E0,-2.156507512E0,9.408053041E-2,3.961554196E0
1.645691167E0,1.291499664E0,-3.116296386E0,2.172730027E0,4.012484308E0
1.655709167E0,-8.446829259E-1,-4.302002378E0,4.500033538E0,6.282596243E0
1.665726167E0,-1.489674667E0,-2.904589173E0,2.946482134E0,4.397445376E0
1.675743167E0,-2.271432781E0,5.084826440E-1,-6.644179451E-1,2.420622375E0
1.685761167E0,-1.505483199E0,-6.330452943E-1,-5.798859179E-1,1.733059054E0
1.695778167E0,-9.288863397E-1,2.205110738E-1,-3.306375918E0,3.441449793E0
1.705795167E0,-6.503343415E-1,-8.316079670E-1,-4.456658308E0,4.579990157E0
1.715813167E0,1.068666369E0,-2.574534899E0,-2.327079563E0,3.631194989E0
1.725830167E0,6.760603362E-1,-2.956091156E0,-1.088696591E0,3.221923768E0
1.735847167E0,-1.426883172E0,-1.438511530E0,-1.488184211E0,2.513961665E0
1.745865167E0,-2.459195647E0,-1.296357531E0,-3.779456595E0,4.691745755E0
1.755882167E0,-2.982197512E0,-2.148659379E0,-4.041498395E0,5.462961505E0
1.765899167E0,-1.510053383E0,-1.703323740E0,-4.905482980E0,5.407895732E0
1.775918708E0,3.487332040E-1,-2.516600102E0,-3.869525936E0,4.629051942E0
1.785935708E0,6.534082228E-1,-1.621166560E0,-3.202308344E0,3.648273845E0
1.795952708E0,1.843867416E0,-1.290572588E0,-3.352916247E0,4.038251108E0
1.805970708E0,2.282300416E0,-6.906187338E-1,-3.548223190E0,4.275013126E0
1.815987708E0,2.701497247E0,-8.554043806E-1,-2.593985662E0,3.841687864E0
1.826004708E0,3.747877538E0,-1.297150706E0,-5.730031604E-1,4.007183376E0
1.836022708E0,4.706447268E0,-1.293347677E0,5.576384318E-1,4.912672869E0
1.846039708E0,5.112283210E0,-1.308085584E0,8.970330477E-1,5.352681179E0
1.856057708E0,5.166124372E0,-1.355648298E0,1.254681501E0,5.486424063E0
1.866074708E0,5.058214592E0,-1.307139797E0,1.182827407E0,5.356606200E0
1.876091708E0,4.565666780E0,-9.088160643E-1,8.528117251E-1,4.732710389E0
1.886109708E0,3.889502363E0,-1.815461057E-1,6.461360407E-1,3.946983583E0
1.896126708E0,4.032890124E0,1.018496674E0,-9.747308493E-2,4.160653702E0
1.906143708E0,4.095638934E0,3.264503130E0,-1.023214792E0,5.336497679E0
1.916161708E0,3.623544098E0,2.022776720E0,7.758546196E-2,4.150628506E0
1.926178708E0,4.135229847E0,1.356104088E0,-2.875018195E-1,4.361399028E0
1.936195708E0,3.956765224E0,1.792047637E0,-7.479348958E-1,4.407588045E0
1.946213708E0,3.844027398E0,1.727424501E0,-3.093959145E-1,4.225667743E0
1.956230708E0,3.950605767E0,1.400835580E0,9.706682038E-1,4.302536811E0
1.966247708E0,3.847962574E0,4.189752209E-1,2.027211248E0,4.369432646E0
1.976265708E0,2.569557164E0,-1.150250230E0,-5.656820078E-1,2.871531951E0
1.986282708E0,3.902317121E0,-2.871415579E-1,1.753797783E-1,3.916795534E0
1.996299708E0,2.304724488E0,1.737266827E0,-3.325457722E-2,2.886339700E0
2.006317708E0,-1.138304368E0,1.364024434E0,-3.114670275E0,3.585731504E0
2.016334708E0,-2.807522469E0,7.576716793E-1,-3.645030277E0,4.662884784E0
2.026351708E0,-4.234343076E0,4.962958771E-1,-1.913753922E0,4.673160061E0
2.036369708E0,-4.863550842E0,9.481938457E-1,4.845266014E-2,4.955355288E0
2.046386708E0,-4.521239051E0,1.730084692E0,1.714612375E0,5.135629581E0
2.056403708E0,-4.009653289E0,1.859189460E0,2.455334438E0,5.055944239E0
2.066421708E0,-3.922914523E0,1.732761548E0,2.036746303E0,4.747636932E0
2.076438708E0,-4.072867538E0,1.079824026E0,2.075333248E-1,4.218689368E0
2.086456708E0,-4.286987312E0,3.766191602E-3,-1.547636361E0,4.557790332E0
2.096473708E0,-4.489665256E0,-7.244887304E-1,-2.286360577E0,5.090129931E0
2.106490708E0,-4.230768088E0,-1.216268218E0,-1.437861904E0,4.630999228E0
2.116508708E0,-3.965730760E0,-1.276440160E0,1.371376723E-2,4.166114258E0
2.126525708E0,-4.175193812E0,-1.367380736E0,1.874626401E0,4.776630359E0
2.136542708E0,-4.773044130E0,-1.779799474E0,3.772506887E0,6.338883549E0
2.146560708E0,-5.105761226E0,-2.018038428E0,3.222289449E0,6.365879836E0
2.156577708E0,-5.158649876E0,-2.083980988E0,1.471313971E0,5.754946577E0
2.166594708E0,-4.933135048E0,-1.955905330E0,6.361196141E-1,5.344720313E0
