"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.208886667E-1,-2.320158799E0,3.182483067E-1,-1.603506507E0,2.838248043E0
6.309046667E-1,-2.392433308E0,7.102169926E-1,-1.947922127E0,3.165840476E0
6.409206667E-1,-5.674640930E-1,1.402376760E0,-1.553299389E0,2.168274675E0
6.509363333E-1,1.297197191E0,1.824430248E0,-6.494514120E-1,2.330891121E0
6.609523333E-1,1.956801124E0,9.097446021E-1,1.846386981E-1,2.165824861E0
6.709683333E-1,2.584592110E0,9.468133181E-2,-2.456918156E-1,2.597969476E0
6.809843333E-1,3.151881956E0,-7.064304820E-1,-1.797404855E-1,3.235075043E0
6.910003333E-1,4.408504148E0,-1.678811481E0,-7.506772399E-1,4.776696885E0
7.010163333E-1,6.593334403E0,-1.400552283E0,-2.671529682E0,7.250563846E0
7.110323333E-1,7.903163919E0,-1.856546811E0,-2.731130351E0,8.565386096E0
7.210483333E-1,7.513663927E0,-3.257233287E0,-2.039651492E0,8.439484137E0
7.310643333E-1,5.941511360E0,-4.431820505E0,-9.115844285E-1,7.468170888E0
7.410803333E-1,4.848910584E0,-4.586119171E0,-2.561893219E-1,6.679075974E0
7.510963333E-1,4.645859004E0,-4.000360894E0,-1.730951250E-1,6.133258114E0
7.611123333E-1,4.658366198E0,-4.203972638E0,1.527316117E-1,6.276710007E0
7.711293333E-1,4.030888038E0,-5.000579756E0,1.146606245E0,6.524458763E0
7.811453333E-1,2.947537556E0,-5.995826731E0,1.223788322E0,6.792317255E0
7.911613333E-1,2.480201769E0,-6.248303071E0,-1.293636822E0,6.845888424E0
8.011773333E-1,1.188107443E0,-5.677586757E0,-2.469839333E0,6.304498157E0
8.111933333E-1,-1.066608149E-1,-5.369599290E0,-2.062422888E0,5.753047996E0
8.212093333E-1,-1.360384542E0,-5.595476062E0,-1.507654270E0,5.952564141E0
8.312253333E-1,-3.706372247E0,-3.766465836E0,-3.872236705E-1,5.298433948E0
8.412413333E-1,-5.740701603E0,-1.496687232E0,8.777805054E-1,5.997184854E0
8.512573333E-1,-6.368545214E0,-9.315234339E-1,1.449739938E0,6.597563940E0
8.612733333E-1,-6.536389539E0,-1.411206202E0,1.122834975E0,6.780608345E0
8.712893333E-1,-7.401314356E0,-2.506102595E0,1.114027314E0,7.893102133E0
8.813053333E-1,-8.105143704E0,-3.083474211E0,1.322908568E0,8.772186430E0
8.913213333E-1,-8.474557925E0,-2.797791533E0,2.386454530E0,9.238015735E0
9.013373333E-1,-8.376197233E0,-3.265229647E0,2.950772236E0,9.462000926E0
9.113533333E-1,-8.211371825E0,-3.281866145E0,2.981786745E0,9.332112560E0
9.213693333E-1,-7.716434841E0,-2.705652278E0,2.266581346E0,8.485358679E0
9.313853333E-1,-7.789010482E0,-1.654194850E0,2.706841602E0,8.410234024E0
9.414013333E-1,-8.563861281E0,-9.400697243E-1,2.485963030E0,8.966797829E0
9.514183333E-1,-9.781728712E0,-9.736859518E-1,3.205613775E0,1.033954741E1
9.614343333E-1,-9.922360096E0,-2.159987774E0,4.190785412E0,1.098551134E1
9.714503333E-1,-9.255384579E0,-1.921944702E0,3.722345670E0,1.015932441E1
9.814663333E-1,-8.546568725E0,-1.179441285E0,3.134819196E0,9.179434084E0
9.914823333E-1,-6.887046477E0,-1.449155801E0,8.920915657E-1,7.094172896E0
1.001498333E0,-5.226467053E0,-2.190364060E0,-1.337361715E0,5.822558624E0
1.011514333E0,-4.213439280E0,-2.755001024E0,-6.357554787E-1,5.074178380E0
1.021530333E0,-3.534683377E0,-2.584519020E0,1.581418065E0,4.655599664E0
1.031546333E0,-3.392531717E0,-1.435624759E0,3.997611533E0,5.436100429E0
1.041562333E0,-3.308049392E0,1.502781200E-1,3.353651826E0,4.713040936E0
1.051578333E0,-2.701220673E0,1.108050874E0,1.236136472E0,3.170552514E0
1.061594333E0,-2.919382043E0,6.709177101E-1,2.715044661E0,4.042819511E0
1.071610333E0,-2.458030297E0,-6.765754759E-2,2.273582218E0,3.348979932E0
1.081626333E0,-1.920836800E0,-2.121876792E0,-1.406405170E1,1.435233519E1
1.091642333E0,-3.818894311E0,-6.358853454E0,-6.657925086E0,9.967293387E0
1.101658333E0,-1.085779707E-1,-6.583354960E0,7.573029538E0,1.003509482E1
1.111674333E0,7.484341018E-1,-1.956995836E0,6.530345857E-1,2.194639031E0
1.121690333E0,5.358568226E-1,-8.925189972E-3,-3.036695316E0,3.083624594E0
1.131707333E0,-3.529718506E-1,-1.125569133E0,-1.145081291E0,1.643990925E0
1.141723333E0,-1.283401124E0,-8.873664308E-1,3.915994928E0,4.215394869E0
1.151739333E0,-2.228490683E0,1.132758869E0,5.304353135E0,5.863912990E0
1.161755333E0,-3.801860494E0,2.020515894E0,3.128408893E0,5.321989280E0
1.171771333E0,-4.271239007E0,1.884764596E0,4.278836586E0,6.332792651E0
1.181787333E0,-4.341451787E0,1.851261805E0,4.119981185E0,6.264951625E0
1.191803333E0,-4.767967285E0,2.380916047E0,4.326647222E0,6.864557483E0
1.201819333E0,-4.935730042E0,3.311882241E0,5.305294536E0,7.967191798E0
1.211835333E0,-4.458958895E0,3.462280229E0,4.803004678E0,7.412054557E0
1.221851333E0,-3.100511243E0,3.824987694E0,3.922250279E0,6.295057432E0
1.231867333E0,-8.560007966E-1,4.321894605E0,2.818257372E0,5.230113284E0
1.241883333E0,1.658846017E0,4.182974702E0,3.595545291E0,5.759947344E0
1.251899333E0,-1.813896343E0,3.088917968E0,4.913831635E0,6.080902523E0
1.261915333E0,-1.172782826E1,2.023693271E0,2.281249087E0,1.211781282E1
1.271931333E0,-1.018058249E1,1.300122553E0,-2.081308225E0,1.047217372E1
1.281947333E0,-5.835541102E0,-9.384243178E-1,-6.637943981E0,8.887996424E0
1.291963333E0,3.067004943E-1,-1.218634586E0,-7.174264634E0,7.283488758E0
1.301979333E0,7.128865682E0,1.242991163E0,-7.050207183E0,1.010302797E1
1.311995333E0,1.248894278E1,4.375356867E0,-6.539564577E0,1.476087207E1
1.322011333E0,1.337579817E1,4.808153737E0,-3.876905122E0,1.473298043E1
1.332028333E0,7.927989442E0,2.364521624E0,-3.082710564E0,8.828764553E0
1.342044333E0,3.733350715E0,1.408138753E0,-2.101277052E0,4.509559574E0
1.352060333E0,3.469729582E0,1.200103006E0,-1.516409891E0,3.972249936E0
1.362076333E0,2.734153946E0,1.582340755E0,-2.653141943E0,4.125356013E0
1.372092333E0,2.696256387E0,9.406024057E-1,-1.104531947E0,3.061784155E0
1.382108333E0,2.474819407E0,1.611680914E0,1.611606801E0,3.364449873E0
1.392124333E0,2.388688751E0,5.569572312E0,2.993022462E0,6.759005337E0
1.402140333E0,2.415488294E0,7.263420639E0,2.910589001E0,8.189224103E0
1.412156333E0,1.272791498E0,5.764678695E0,3.393531591E0,6.809374077E0
1.422172333E0,1.010448566E0,4.317401605E0,2.624047952E0,5.152338360E0
1.432188333E0,-7.341676265E-1,3.907460917E0,-2.088724834E-1,3.981316445E0
1.442204333E0,-9.890723151E-1,1.061504114E0,-9.046472919E-1,1.709807519E0
1.452220333E0,-4.042302972E-1,5.330248699E-1,-1.951134733E0,2.062630454E0
