"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.617179166E-1,-2.471530348E-2,-7.425856290E0,-9.537701014E0,1.208766698E1
6.717119166E-1,2.419533983E-1,-7.153949652E0,-9.118898286E0,1.159274959E1
6.817059168E-1,3.840910612E-1,-6.879700035E0,-8.783854584E0,1.116395539E1
6.916999167E-1,3.439022344E-1,-6.615335137E0,-8.719770854E0,1.095058590E1
7.016939167E-1,2.791112843E-1,-6.491259559E0,-8.805199260E0,1.094284642E1
7.116879167E-1,4.407335874E-1,-6.295536879E0,-9.034613596E0,1.102053871E1
7.216819166E-1,6.970863390E-1,-6.199558343E0,-9.267305297E0,1.117154423E1
7.316759166E-1,7.757626721E-1,-5.937722949E0,-9.089994915E0,1.088514442E1
7.416699168E-1,9.464469901E-1,-5.485738442E0,-8.765434100E0,1.038373358E1
7.516639167E-1,9.860516435E-1,-5.259108549E0,-8.271474186E0,9.851284474E0
7.616579167E-1,1.188132878E0,-5.152175839E0,-7.989284635E0,9.580461606E0
7.716519167E-1,1.658424141E0,-5.166860536E0,-7.712849913E0,9.430528735E0
7.816459166E-1,2.159799933E0,-4.798511970E0,-7.671701887E0,9.302981389E0
7.916399166E-1,2.782046735E0,-4.190206245E0,-7.939852273E0,9.398875813E0
8.016339166E-1,3.001580447E0,-3.424384132E0,-7.550432974E0,8.817308544E0
8.116279168E-1,2.572339562E0,-2.353349057E0,-6.896529492E0,7.727697046E0
8.216219167E-1,2.046354740E0,-1.722085701E0,-5.769098021E0,6.358902331E0
8.316159167E-1,1.901840512E0,-1.995755859E0,-3.400963987E0,4.377966974E0
8.416099166E-1,1.566966964E0,-8.121267986E-1,-1.208807171E0,2.139193815E0
8.516039166E-1,1.053342278E0,5.497414747E-1,3.669361711E-1,1.243538418E0
8.615979166E-1,9.616395181E-1,5.316130596E-1,3.550734569E0,3.716864133E0
8.715888751E-1,9.630171221E-1,8.161789191E-1,6.600205466E0,6.719840936E0
8.815828750E-1,-1.183577897E0,1.561423511E0,1.006536896E1,1.025429433E1
8.915768750E-1,-5.565247126E0,2.260753134E0,1.345588397E1,1.473579973E1
9.015708750E-1,-1.219618673E1,5.251300178E0,1.514722618E1,2.014352465E1
9.115648749E-1,-1.232151595E1,9.077326922E0,1.512282458E1,2.151551632E1
9.215588749E-1,-9.122526484E0,7.862271416E0,1.880667101E1,2.233218923E1
9.315528751E-1,-9.515833597E0,8.048621010E0,1.911444740E1,2.281870918E1
9.415468751E-1,-1.012204953E1,8.491831770E0,2.193986878E1,2.561103152E1
9.515408750E-1,-1.182891843E1,9.364009473E0,2.508988781E1,2.927644881E1
9.615348750E-1,-1.265773436E1,9.271564994E0,2.729174574E1,3.148046286E1
9.715288749E-1,-1.332472391E1,7.815144027E0,2.916758398E1,3.300564646E1
9.815228749E-1,-1.335244906E1,7.174630669E0,2.952830573E1,3.319162636E1
9.915168751E-1,-1.286634547E1,6.616776475E0,2.820770272E1,3.170172029E1
1.001510875E0,-1.179054784E1,7.113431956E0,2.155053075E1,2.557427043E1
1.011504875E0,-6.640734857E0,9.883250409E0,8.324002063E0,1.452814539E1
1.021498875E0,-2.635625146E0,4.990979213E0,7.777765117E0,9.609891968E0
1.031492875E0,-4.715467767E0,6.411260294E0,6.127519476E0,1.004422171E1
1.041486875E0,-7.390035077E0,7.697282871E0,4.418239177E0,1.154909605E1
1.051480875E0,-7.583283216E0,6.249788264E0,3.888066287E0,1.056802238E1
1.061474875E0,-5.871493877E0,4.253942358E0,2.815791017E0,7.778119630E0
1.071468875E0,-4.473132253E0,2.470544215E0,2.045492860E0,5.504229457E0
1.081462875E0,-3.593261953E0,1.141028586E-1,9.020739323E-1,3.706519702E0
1.091456875E0,-2.791140617E0,-2.154705692E0,-2.007775980E-1,3.531789095E0
1.101450875E0,-1.426122741E0,-3.753839943E0,-7.779422218E-1,4.090273156E0
1.111444875E0,5.056572694E-1,-4.549978116E0,-2.019999585E0,5.003837372E0
1.121438875E0,2.419288400E0,-5.067187144E0,-4.050272142E0,6.923441799E0
1.131432875E0,3.949606478E0,-6.747388655E0,-5.062980072E0,9.314526945E0
1.141426875E0,4.840585026E0,-7.545623054E0,-5.524879704E0,1.053052641E1
1.151420875E0,5.133779329E0,-7.151401436E0,-6.199802756E0,1.076734818E1
1.161414875E0,4.407532049E0,-6.146754477E0,-7.100284492E0,1.037414908E1
1.171408875E0,3.712993926E0,-5.013233131E0,-7.592087368E0,9.826424626E0
1.181402875E0,3.489349329E0,-4.771635536E0,-6.951564070E0,9.125146982E0
1.191396875E0,3.670565068E0,-5.030423945E0,-6.316151823E0,8.869723041E0
1.201390875E0,3.972901200E0,-5.182771980E0,-5.910105965E0,8.807634294E0
1.211384875E0,4.261289384E0,-5.100093520E0,-5.875292813E0,8.870659883E0
1.221378875E0,4.591280508E0,-4.992135792E0,-5.965119494E0,9.032382136E0
1.231372875E0,4.969288382E0,-4.821729510E0,-6.225991850E0,9.311599058E0
1.241366875E0,5.319113261E0,-4.634156679E0,-6.416293577E0,9.536099689E0
1.251360875E0,5.458282841E0,-4.783510939E0,-6.643488895E0,9.839246575E0
1.261354875E0,5.557534064E0,-5.229391830E0,-6.573094851E0,1.007165824E1
1.271348875E0,5.975181967E0,-5.713874577E0,-6.407188877E0,1.045959997E1
1.281342875E0,6.243935786E0,-5.863581424E0,-6.142567286E0,1.054037258E1
1.291336875E0,6.404122598E0,-5.916261329E0,-5.756128896E0,1.044738983E1
1.301330875E0,6.530495546E0,-5.870604515E0,-5.135278555E0,1.017263266E1
1.311324875E0,6.663868781E0,-5.914803033E0,-4.389798905E0,9.932893661E0
1.321318875E0,6.922116323E0,-6.130617916E0,-3.484806628E0,9.881500273E0
