"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.246883750E-1,3.504688330E0,2.475346533E0,7.048410333E0,8.251682797E0
6.346843750E-1,3.570502543E0,1.762669471E0,1.042455874E1,1.115916291E1
6.446793750E-1,3.558636496E0,9.597277710E-1,1.453016717E1,1.499035454E1
6.546753750E-1,3.361432716E0,2.593605593E-1,2.020760307E1,2.048691582E1
6.646703749E-1,4.352603012E0,-1.865010363E-1,2.452130222E1,2.490530462E1
6.746663749E-1,5.219210658E0,2.807707241E-1,2.653803263E1,2.704784960E1
6.846623749E-1,4.822104024E0,1.080604921E0,2.644569808E1,2.690344478E1
6.946573749E-1,4.302251469E0,1.773488574E0,2.383203946E1,2.428210728E1
7.046533751E-1,3.792614585E0,2.576803619E0,2.015558390E1,2.067054438E1
7.146493751E-1,3.726173258E0,3.662825108E0,1.510355450E1,1.598180257E1
7.246443750E-1,3.593274525E0,4.690693114E0,9.118559732E0,1.086565025E1
7.346403750E-1,2.423157502E0,5.377684236E0,3.883924119E0,7.062297543E0
7.446363750E-1,1.865261793E-1,5.682100807E0,-1.873091215E-1,5.688246330E0
7.546313750E-1,-1.617741553E0,5.808816987E0,-3.346473784E0,6.896254731E0
7.646273749E-1,-2.383025430E0,5.240289286E0,-4.977653409E0,7.610287475E0
7.746233749E-1,-3.709812456E0,4.219371865E0,-5.786619202E0,8.065405705E0
7.846183749E-1,-5.002877128E0,2.342917916E0,-6.270807835E0,8.357097272E0
7.946143749E-1,-4.996293747E0,5.885807276E-3,-5.665312282E0,7.553724188E0
8.046093751E-1,-4.973086733E0,-2.154632894E0,-4.367983528E0,6.960841520E0
8.146053751E-1,-5.317573689E0,-4.031374526E0,-3.121465909E0,7.366961377E0
8.246013750E-1,-5.970733405E0,-5.372559736E0,-1.927920556E0,8.260201764E0
8.345963750E-1,-6.291660175E0,-6.212385964E0,-1.788811787E0,9.021007413E0
8.445923750E-1,-6.428031278E0,-7.141065313E0,-2.106572875E0,9.836261952E0
8.545883750E-1,-6.646338243E0,-7.695326393E0,-2.543321292E0,1.048142851E1
8.645833749E-1,-6.820090595E0,-8.045365865E0,-3.173715459E0,1.101426427E1
8.745793749E-1,-7.033645529E0,-8.454498467E0,-4.148748609E0,1.175426853E1
8.845753749E-1,-7.554110872E0,-8.942953813E0,-4.992945632E0,1.272676393E1
8.945703749E-1,-8.649922355E0,-9.116481632E0,-5.128671201E0,1.357330698E1
9.045663751E-1,-9.566811377E0,-8.873308797E0,-5.393848279E0,1.411924531E1
9.145613750E-1,-9.538731294E0,-8.607219554E0,-5.569486942E0,1.400324277E1
9.245573750E-1,-9.939143944E0,-8.464037030E0,-5.477759916E0,1.415741357E1
9.345533750E-1,-1.121135306E1,-8.505476248E0,-5.608234102E0,1.514892251E1
9.445483750E-1,-1.173551150E1,-8.083345869E0,-5.470767231E0,1.526407563E1
9.545443750E-1,-1.147421698E1,-8.020158518E0,-5.264341807E0,1.495639972E1
9.645403749E-1,-1.097985711E1,-8.163287247E0,-4.810182136E0,1.450290913E1
9.745353749E-1,-1.067483711E1,-7.891337340E0,-4.336774600E0,1.396542037E1
9.845313749E-1,-1.047869226E1,-7.343017032E0,-3.885355810E0,1.337231769E1
9.945273749E-1,-9.935661342E0,-6.994907725E0,-3.382489125E0,1.261298272E1
