"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.266110000E-1,-5.518146050E-1,2.209850637E0,-6.741056120E-1,2.375364724E0
6.366640000E-1,2.903926098E-1,2.610114622E0,5.364586473E-1,2.680450351E0
6.467170000E-1,3.345706630E-1,2.586414979E0,1.458662204E0,2.988172585E0
6.567700000E-1,2.858002067E-1,1.088879462E0,2.643977602E0,2.873666264E0
6.668230000E-1,7.066769421E-1,-7.188214628E-1,2.519543005E0,2.713704765E0
6.768770000E-1,2.140542859E-1,-1.786716584E0,3.203287752E0,3.674129531E0
6.869300000E-1,-8.514814836E-1,-2.513340864E0,4.907017289E0,5.578594957E0
6.969830000E-1,-6.482913244E-1,-2.561350012E0,5.030349686E0,5.682007875E0
7.070360000E-1,-3.454950160E-1,-2.596314315E0,5.473141785E0,6.067577427E0
7.170890000E-1,-5.626471567E-1,-3.521938494E0,7.234664032E0,8.066039067E0
7.271420000E-1,-1.441436307E0,-5.047787837E0,8.242461471E0,9.772209155E0
7.371950000E-1,-1.047793563E0,-5.713653553E0,7.698449975E0,9.644160943E0
7.472480000E-1,-1.879113847E-1,-5.250916016E0,6.988850010E0,8.743652221E0
7.573010000E-1,3.015987986E-1,-4.849376607E0,5.933441618E0,7.668972861E0
7.673540000E-1,3.478233773E-1,-4.184948429E0,4.655594033E0,6.269715325E0
7.774070000E-1,3.891971058E-1,-3.496572395E0,2.938494837E0,4.583911518E0
7.874600000E-1,2.776620519E-1,-3.137831389E0,1.358768372E0,3.430646226E0
7.975130000E-1,-1.939106280E-1,-3.303784432E0,6.896767473E-1,3.380569024E0
8.075660000E-1,-7.197694427E-1,-3.929095322E0,1.487680766E-1,3.997247808E0
8.176190000E-1,-7.619056481E-1,-4.242849897E0,-3.907428172E-1,4.328389472E0
8.276720000E-1,-7.069400668E-2,-3.860913864E0,-7.049169302E-1,3.925374044E0
8.377250000E-1,1.538642174E-1,-2.976274282E0,-1.436753564E0,3.308495671E0
8.477780000E-1,4.691671354E-1,-2.391807071E0,-2.333350117E0,3.374223116E0
8.578310000E-1,6.505541968E-1,-2.074254144E0,-2.944968874E0,3.660408815E0
